577,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=210 ,STDDEV_threshold=0.2,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
493,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=390 ,STDDEV_threshold=0.7,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
386,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=310 ,STDDEV_threshold=0.7,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
381,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=330 ,STDDEV_threshold=0.1,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
976,2112.1,3,9.68,704.03,444.05,3.83%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=200 ,STDDEV_period=130 ,STDDEV_threshold=0.9,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
185,2112.1,3,9.68,704.03,444.05,3.83%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=80 ,STDDEV_period=170 ,STDDEV_threshold=0.9,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1095,1999.08,14,3.11,142.79,475.93,4.50%,0,max_open_risk=2 ,max_open_trades=2 ,DEMA_period=20 ,WDH_sensetive=80 ,STDDEV_period=190 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1073,1999.08,14,3.11,142.79,475.93,4.50%,0,max_open_risk=2 ,max_open_trades=2 ,DEMA_period=20 ,WDH_sensetive=100 ,STDDEV_period=190 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1135,1918.28,8,2.94,239.78,1479.03,13.72%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=80 ,WDH_sensetive=60 ,STDDEV_period=170 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
1101,1918.28,8,2.94,239.78,1479.03,13.72%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=80 ,WDH_sensetive=80 ,STDDEV_period=170 ,STDDEV_threshold=0.5,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
